state,district_type,education_level,infrastructure_score,toilet_access,drinking_water_source,electricity_access,employment_type,health_index,poverty_status,housing_type,cooking_fuel_type,phone_access,transport_mode,internet_access
Kerala,Rural,Graduate,26.5,Private,Private tap,1,Informal,0.42,1,Pucca,Biogas,Smartphone,Cycle,1
Odisha,Rural,Graduate,36.9,Shared,Well,1,Govt job,0.29,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,0
Jharkhand,Urban,Postgraduate,64.9,Private,Public tap,1,Private job,0.51,0,Semi-Pucca,Firewood,Basic Phone,Cycle,0
Gujarat,Rural,Secondary,70.6,No,Unprotected,1,Unemployed,0.33,1,Semi-Pucca,LPG,None,Public Transport,1
Gujarat,Urban,No School,21.9,No,Public tap,1,Informal,0.49,1,Semi-Pucca,LPG,Basic Phone,Private Vehicle,1
Madhya Pradesh,Rural,No School,28.1,Private,Well,0,Informal,0.29,1,Kutcha,Firewood,None,Cycle,1
West Bengal,Rural,Secondary,55.6,Private,Private tap,1,Unemployed,0.03,1,Semi-Pucca,Firewood,Basic Phone,Walk,0
Gujarat,Rural,Secondary,96.9,No,Unprotected,1,Unemployed,0.08,1,Semi-Pucca,LPG,Basic Phone,Public Transport,1
Chhattisgarh,Rural,Secondary,74.9,Private,Public tap,0,Informal,0.35,1,Pucca,Firewood,Basic Phone,Public Transport,0
Chhattisgarh,Rural,Secondary,45.0,Private,Unprotected,1,Self-employed,0.23,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Uttar Pradesh,Urban,Postgraduate,1.6,Private,Unprotected,1,Govt job,0.37,1,Pucca,Firewood,Smartphone,Private Vehicle,0
West Bengal,Urban,Secondary,51.6,Private,Unprotected,1,Private job,0.21,1,Kutcha,LPG,None,Walk,0
Jharkhand,Rural,Graduate,57.2,Private,Well,1,Govt job,0.37,0,Pucca,LPG,Smartphone,Public Transport,1
Gujarat,Rural,Postgraduate,42.3,Private,Public tap,1,Informal,0.5,0,Pucca,Firewood,Basic Phone,Walk,1
Jharkhand,Rural,Secondary,33.0,Private,Unprotected,1,Govt job,0.48,1,Semi-Pucca,LPG,None,Walk,1
Madhya Pradesh,Urban,Secondary,53.2,No,Public tap,1,Self-employed,0.22,1,Pucca,Firewood,Basic Phone,Public Transport,1
Tamil Nadu,Rural,Graduate,31.2,Shared,Well,1,Informal,0.16,1,Pucca,LPG,Smartphone,Private Vehicle,0
Uttar Pradesh,Rural,Graduate,87.4,Shared,Unprotected,0,Private job,0.08,1,Semi-Pucca,Firewood,Smartphone,Public Transport,0
Maharashtra,Urban,Primary,80.3,Private,Unprotected,1,Govt job,0.19,1,Pucca,Firewood,None,Cycle,1
Madhya Pradesh,Rural,Primary,63.2,No,Unprotected,1,Self-employed,0.24,1,Semi-Pucca,LPG,Smartphone,Public Transport,0
Maharashtra,Rural,Primary,51.8,No,Public tap,0,Unemployed,0.35,1,Semi-Pucca,LPG,Smartphone,Public Transport,0
Uttar Pradesh,Urban,Primary,36.8,Private,Public tap,0,Private job,0.05,1,Semi-Pucca,Kerosene,None,Walk,1
Maharashtra,Urban,Primary,49.6,Private,Unprotected,1,Govt job,0.34,1,Kutcha,Firewood,Smartphone,Cycle,1
Tamil Nadu,Urban,Primary,82.8,Private,Public tap,1,Informal,0.2,1,Pucca,Kerosene,Basic Phone,Walk,0
Rajasthan,Urban,Secondary,67.4,No,Public tap,0,Informal,0.06,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,0
Uttar Pradesh,Rural,Postgraduate,54.1,Shared,Unprotected,1,Unemployed,0.25,1,Kutcha,Firewood,Basic Phone,Walk,1
Madhya Pradesh,Urban,Secondary,68.5,Shared,Unprotected,1,Unemployed,0.3,1,Semi-Pucca,LPG,Basic Phone,Public Transport,0
Rajasthan,Urban,Postgraduate,60.9,No,Private tap,1,Self-employed,0.35,1,Pucca,Biogas,Smartphone,Private Vehicle,1
Kerala,Rural,Graduate,57.9,Shared,Private tap,1,Unemployed,0.23,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
West Bengal,Rural,Graduate,69.6,Shared,Unprotected,1,Private job,0.57,0,Semi-Pucca,Firewood,Basic Phone,Public Transport,0
Odisha,Rural,Secondary,60.3,No,Well,1,Govt job,0.16,1,Pucca,Biogas,Smartphone,Cycle,1
Madhya Pradesh,Rural,Primary,67.2,Private,Unprotected,1,Informal,0.41,1,Kutcha,Firewood,None,Private Vehicle,0
Kerala,Rural,Graduate,53.2,Shared,Unprotected,1,Informal,0.25,1,Kutcha,LPG,Smartphone,Private Vehicle,1
Chhattisgarh,Urban,Postgraduate,44.9,No,Unprotected,1,Informal,0.55,1,Kutcha,Firewood,Basic Phone,Walk,0
Chhattisgarh,Rural,Secondary,39.0,Private,Unprotected,0,Unemployed,0.15,1,Semi-Pucca,LPG,None,Private Vehicle,1
Jharkhand,Rural,No School,36.7,Private,Unprotected,1,Unemployed,0.31,1,Kutcha,Firewood,Basic Phone,Private Vehicle,0
Madhya Pradesh,Rural,Graduate,17.9,Private,Unprotected,1,Informal,0.25,1,Semi-Pucca,Kerosene,Basic Phone,Private Vehicle,1
Bihar,Rural,Primary,31.8,Shared,Unprotected,1,Private job,0.33,1,Pucca,LPG,None,Cycle,0
Odisha,Rural,No School,31.2,Private,Unprotected,0,Private job,0.29,1,Pucca,LPG,None,Private Vehicle,0
Bihar,Rural,Graduate,39.9,Private,Private tap,1,Govt job,0.19,1,Semi-Pucca,Firewood,Smartphone,Walk,1
West Bengal,Urban,Secondary,81.2,Private,Private tap,1,Self-employed,0.27,1,Pucca,Firewood,Basic Phone,Walk,1
Maharashtra,Urban,Secondary,46.8,Shared,Private tap,0,Private job,0.65,1,Kutcha,Firewood,Basic Phone,Walk,0
Jharkhand,Rural,Postgraduate,54.8,No,Well,1,Self-employed,0.07,1,Semi-Pucca,LPG,Basic Phone,Public Transport,0
Gujarat,Rural,Secondary,55.5,Private,Public tap,1,Unemployed,0.22,1,Kutcha,Biogas,None,Walk,0
Odisha,Urban,Secondary,81.8,Private,Well,1,Self-employed,0.21,1,Semi-Pucca,Firewood,None,Cycle,1
Rajasthan,Rural,Primary,38.5,Private,Well,1,Private job,0.42,1,Semi-Pucca,Firewood,None,Public Transport,1
Uttar Pradesh,Urban,Primary,45.5,Private,Unprotected,1,Unemployed,0.71,1,Kutcha,Kerosene,Smartphone,Walk,0
Odisha,Urban,Graduate,47.9,Private,Private tap,1,Informal,0.51,0,Pucca,Kerosene,Basic Phone,Private Vehicle,1
Tamil Nadu,Rural,Secondary,72.7,Private,Unprotected,0,Informal,0.21,1,Kutcha,Firewood,Basic Phone,Cycle,1
Rajasthan,Urban,Primary,76.9,Private,Unprotected,1,Unemployed,0.08,1,Semi-Pucca,Kerosene,Basic Phone,Walk,0
Uttar Pradesh,Urban,No School,59.5,Shared,Private tap,1,Informal,0.12,1,Semi-Pucca,Firewood,Basic Phone,Cycle,1
West Bengal,Urban,Secondary,74.7,No,Unprotected,1,Informal,0.54,1,Semi-Pucca,Firewood,Basic Phone,Walk,1
Chhattisgarh,Rural,Secondary,53.6,Private,Public tap,1,Private job,0.09,1,Kutcha,LPG,Basic Phone,Public Transport,1
Uttar Pradesh,Urban,Secondary,46.5,Private,Public tap,1,Private job,0.08,1,Semi-Pucca,LPG,Basic Phone,Cycle,0
Tamil Nadu,Rural,Secondary,73.6,Shared,Well,0,Private job,0.08,1,Kutcha,LPG,Smartphone,Walk,0
Jharkhand,Rural,Primary,59.8,Private,Private tap,1,Unemployed,0.26,1,Pucca,LPG,Smartphone,Public Transport,1
Uttar Pradesh,Rural,Secondary,35.3,Private,Public tap,1,Unemployed,0.35,1,Kutcha,Biogas,Basic Phone,Public Transport,1
